State,State2,County,Data_Value,Short_Question_Text,Long,Lat
KS,Kansas,Cowley,17.6,Current Cigarette Smoking,-96.83774282,37.23772038
IA,Iowa,Delaware,14.4,Current Cigarette Smoking,-91.36709935,42.47125932
IA,Iowa,Cerro Gordo,22.8,Binge Drinking,-93.26076813,43.081572
KS,Kansas,Harper,21.7,Depression,-98.07557505,37.19166432
IN,Indiana,Jefferson,28.6,Physical Inactivity,-85.43844244,38.78558706
KS,Kansas,Finney,37,Short Sleep Duration,-100.7376461,38.04405361
KS,Kansas,Edwards,19.2,Binge Drinking,-99.31197859,37.88771003
IN,Indiana,LaPorte,38.9,Short Sleep Duration,-86.74014203,41.54602065
IN,Indiana,Howard,24,Depression,-86.11689908,40.48360152
IA,Iowa,Fayette,32.2,Short Sleep Duration,-91.84439392,42.86264363
IN,Indiana,Hendricks,15.3,Current Cigarette Smoking,-86.50999307,39.76951552
KS,Kansas,Johnson,31.7,Obesity,-94.82247673,38.88372749
KS,Kansas,Haskell,34,Short Sleep Duration,-100.8710738,37.56203939
IN,Indiana,Rush,15.2,Binge Drinking,-85.46576267,39.62008971
IN,Indiana,Martin,18.8,Frequent Mental Distress,-86.80317094,38.70777219
KS,Kansas,Franklin,18,Binge Drinking,-95.28597337,38.56440342
IA,Iowa,Monona,22.9,Binge Drinking,-95.95978639,42.05153644
IN,Indiana,Vigo,41,Obesity,-87.38965865,39.43082176
IA,Iowa,Palo Alto,25.1,Binge Drinking,-94.67820833,43.0820387
KS,Kansas,Lincoln,14.9,Frequent Mental Distress,-98.20745361,39.04547622
IN,Indiana,Hancock,36.2,Obesity,-85.77327244,39.82346138
IN,Indiana,Morgan,25,Depression,-86.44593863,39.48153798
IA,Iowa,Kossuth,28.8,Physical Inactivity,-94.20680956,43.20421444
IN,Indiana,Switzerland,29.8,Physical Inactivity,-85.03693567,38.82622891
IA,Iowa,Keokuk,20.2,Binge Drinking,-92.17832294,41.3364935
KS,Kansas,Coffey,20.6,Depression,-95.73407564,38.23678067
IN,Indiana,Lawrence,15.3,Binge Drinking,-86.48319534,38.84104135
KS,Kansas,Logan,38.7,Obesity,-101.148475,38.91735806
KS,Kansas,Haskell,19.7,Depression,-100.8710738,37.56203939
IN,Indiana,Jasper,38.3,Obesity,-87.11600517,41.02309258
KS,Kansas,Jewell,32.9,Short Sleep Duration,-98.2182222,39.78471432
IN,Indiana,Scott,40,Obesity,-85.74706108,38.68577465
KS,Kansas,Geary,21.4,Depression,-96.7526297,39.00214581
IN,Indiana,Owen,24.6,Depression,-86.83742776,39.31284908
IN,Indiana,Henry,20.1,Frequent Mental Distress,-85.39649267,39.93109138
IN,Indiana,Johnson,24.1,Depression,-86.10152017,39.49001916
KS,Kansas,Decatur,17.9,Frequent Mental Distress,-100.4593927,39.78469039
KS,Kansas,Meade,27.8,Physical Inactivity,-100.3655667,37.2382604
IA,Iowa,Clay,17.5,Current Cigarette Smoking,-95.15111611,43.08256675
IA,Iowa,Hardin,38.5,Obesity,-93.24039807,42.38390348
IN,Indiana,LaGrange,35.1,Short Sleep Duration,-85.42656377,41.64259333
IA,Iowa,Appanoose,18.8,Current Cigarette Smoking,-92.86852763,40.74319443
IA,Iowa,Lucas,22.9,Binge Drinking,-93.32780064,41.02948216
KS,Kansas,Ellis,19.7,Depression,-99.31751491,38.91466755
IA,Iowa,Adams,17.8,Current Cigarette Smoking,-94.69926915,41.02896534
IA,Iowa,Muscatine,19,Depression,-91.11277494,41.4838849
IA,Iowa,Buchanan,24.6,Physical Inactivity,-91.83747505,42.47096985
IA,Iowa,Madison,38.2,Obesity,-94.01552289,41.33073931
IA,Iowa,Appanoose,20.5,Depression,-92.86852763,40.74319443
IA,Iowa,Lucas,16.6,Frequent Mental Distress,-93.32780064,41.02948216
IA,Iowa,Ringgold,16.9,Current Cigarette Smoking,-94.24386342,40.73514515
IA,Iowa,Adams,16.6,Frequent Mental Distress,-94.69926915,41.02896534
IA,Iowa,Wapello,17,Frequent Mental Distress,-92.40948631,41.03057458
KS,Kansas,Ellsworth,26.7,Physical Inactivity,-98.20468908,38.69680676
IA,Iowa,Woodbury,19.4,Depression,-96.04451835,42.38955648
IA,Iowa,Palo Alto,18.1,Depression,-94.67820833,43.0820387
IN,Indiana,St. Joseph,37.4,Short Sleep Duration,-86.2899347,41.61661374
IN,Indiana,Shelby,26.5,Depression,-85.7916487,39.52347381
KS,Kansas,Finney,32.2,Physical Inactivity,-100.7376461,38.04405361
IA,Iowa,Pocahontas,24,Binge Drinking,-94.6785239,42.73424356
IN,Indiana,Tipton,16.2,Current Cigarette Smoking,-86.05187282,40.31134685
IA,Iowa,Woodbury,29.6,Physical Inactivity,-96.04451835,42.38955648
IA,Iowa,Dubuque,19.4,Depression,-90.88228859,42.46876416
IA,Iowa,Emmet,27.2,Physical Inactivity,-94.67850481,43.37788844
KS,Kansas,McPherson,35.3,Obesity,-97.64782919,38.39166154
KS,Kansas,Ellsworth,18,Depression,-98.20468908,38.69680676
KS,Kansas,Cowley,18.6,Binge Drinking,-96.83774282,37.23772038
IA,Iowa,Linn,15.5,Frequent Mental Distress,-91.59913224,42.07890149
IN,Indiana,Pulaski,20.1,Current Cigarette Smoking,-86.69873539,41.04178825
IA,Iowa,O'Brien,19.8,Binge Drinking,-95.62495705,43.08366261
IA,Iowa,Marion,28.2,Short Sleep Duration,-93.09943983,41.33445215
IA,Iowa,Pottawattamie,34.5,Short Sleep Duration,-95.54273355,41.33657455
IN,Indiana,Kosciusko,16.5,Frequent Mental Distress,-85.86074569,41.2441074
KS,Kansas,Marshall,18.5,Binge Drinking,-96.52285303,39.78356755
IA,Iowa,Wayne,19.9,Depression,-93.32743986,40.73954301
KS,Kansas,Kiowa,22.2,Physical Inactivity,-99.28576492,37.55841651
KS,Kansas,Ford,19.2,Depression,-99.88813563,37.69182201
IA,Iowa,Clinton,40.9,Obesity,-90.53233922,41.89798369
IN,Indiana,Putnam,25.1,Depression,-86.84492814,39.66620019
IA,Iowa,Buchanan,27.5,Binge Drinking,-91.83747505,42.47096985
IA,Iowa,Audubon,18.9,Depression,-94.9058176,41.68448919
IA,Iowa,Guthrie,14.3,Current Cigarette Smoking,-94.50107981,41.6838319
IA,Iowa,Iowa,17.5,Depression,-92.06518781,41.68624067
KS,Kansas,Crawford,42.6,Obesity,-94.85178331,37.50726827
KS,Kansas,Comanche,37.9,Obesity,-99.27133648,37.19118791
KS,Kansas,Logan,17.6,Frequent Mental Distress,-101.148475,38.91735806
IN,Indiana,Lawrence,26.5,Depression,-86.48319534,38.84104135
IN,Indiana,Perry,34.8,Short Sleep Duration,-86.63811995,38.07950998
IN,Indiana,Whitley,15.9,Binge Drinking,-85.50499549,41.13924465
KS,Kansas,Grant,28.2,Physical Inactivity,-101.3079758,37.56227336
IA,Iowa,Buena Vista,20,Binge Drinking,-95.15079144,42.73547059
IN,Indiana,Ripley,27,Physical Inactivity,-85.26226487,39.10354161
KS,Kansas,Kearny,20.1,Depression,-101.3203923,38.00024973
IN,Indiana,Tippecanoe,17.5,Current Cigarette Smoking,-86.89405525,40.38862391
KS,Kansas,Harper,36.8,Short Sleep Duration,-98.07557505,37.19166432
IN,Indiana,Miami,19.8,Frequent Mental Distress,-86.04510126,40.76949671
IA,Iowa,Emmet,15.5,Frequent Mental Distress,-94.67850481,43.37788844
IN,Indiana,Whitley,25.5,Depression,-85.50499549,41.13924465
IN,Indiana,Wells,16.9,Binge Drinking,-85.22124597,40.72918711
IA,Iowa,Dallas,12.9,Frequent Mental Distress,-94.03965403,41.68480366
KS,Kansas,Graham,32.9,Short Sleep Duration,-99.88352889,39.34988258
KS,Kansas,Crawford,18,Binge Drinking,-94.85178331,37.50726827
IN,Indiana,Gibson,40.2,Obesity,-87.58529745,38.31158917
IA,Iowa,Worth,33.5,Short Sleep Duration,-93.26084876,43.37739396
IA,Iowa,Palo Alto,24.2,Physical Inactivity,-94.67820833,43.0820387
IA,Iowa,Howard,16.9,Current Cigarette Smoking,-92.3171182,43.35677293
IN,Indiana,Jasper,17.2,Current Cigarette Smoking,-87.11600517,41.02309258
IA,Iowa,Hamilton,35.4,Obesity,-93.70678011,42.38384023
IN,Indiana,Grant,38.9,Short Sleep Duration,-85.65473398,40.51589426
IA,Iowa,Plymouth,37,Obesity,-96.21413128,42.73779832
KS,Kansas,Lane,19.8,Binge Drinking,-100.4660754,38.48119447
IA,Iowa,Mills,21.4,Binge Drinking,-95.62131657,41.03341568
IA,Iowa,Pocahontas,15,Current Cigarette Smoking,-94.6785239,42.73424356
IN,Indiana,Madison,25.5,Depression,-85.71931686,40.16173328
KS,Kansas,Brown,41.2,Obesity,-95.56425121,39.82649771
IA,Iowa,Carroll,16.6,Frequent Mental Distress,-94.86048447,42.03618517
KS,Kansas,Meade,16.8,Current Cigarette Smoking,-100.3655667,37.2382604
IA,Iowa,Monroe,17.2,Current Cigarette Smoking,-92.8690277,41.02986854
IA,Iowa,Appanoose,18.9,Binge Drinking,-92.86852763,40.74319443
IN,Indiana,Randolph,17.5,Binge Drinking,-85.01136365,40.15762852
IN,Indiana,Lake,16.9,Current Cigarette Smoking,-87.3820486,41.4171965
KS,Kansas,Brown,20.5,Depression,-95.56425121,39.82649771
IA,Iowa,Humboldt,16.9,Current Cigarette Smoking,-94.20728556,42.77643164
KS,Kansas,Atchison,36.3,Short Sleep Duration,-95.31395199,39.53147291
KS,Kansas,Doniphan,36.5,Short Sleep Duration,-95.14675944,39.78797402
IN,Indiana,Spencer,16.9,Current Cigarette Smoking,-87.00780729,38.01421581
IA,Iowa,Ida,25.9,Physical Inactivity,-95.513512,42.38696477
IA,Iowa,Adair,14.3,Frequent Mental Distress,-94.47088986,41.33073906
IA,Iowa,Fremont,24.1,Binge Drinking,-95.60470234,40.74556956
KS,Kansas,Kearny,17.3,Binge Drinking,-101.3203923,38.00024973
IA,Iowa,Page,18.6,Current Cigarette Smoking,-95.15005183,40.73915881
IA,Iowa,Winnebago,13.1,Current Cigarette Smoking,-93.73409863,43.37752561
KS,Kansas,Ellis,16.6,Frequent Mental Distress,-99.31751491,38.91466755
IA,Iowa,Jones,13.7,Frequent Mental Distress,-91.13153465,42.12119452
IA,Iowa,Appanoose,33.5,Short Sleep Duration,-92.86852763,40.74319443
IN,Indiana,Monroe,34,Obesity,-86.523228,39.16083204
KS,Kansas,Cloud,18,Frequent Mental Distress,-97.64918683,39.48028136
IN,Indiana,Pike,30.3,Physical Inactivity,-87.23218711,38.39885694
IA,Iowa,Butler,39.5,Obesity,-92.79019984,42.73158841
IN,Indiana,Perry,27,Physical Inactivity,-86.63811995,38.07950998
IA,Iowa,Mahaska,26.6,Physical Inactivity,-92.64089128,41.33518628
KS,Kansas,Decatur,31.9,Short Sleep Duration,-100.4593927,39.78469039
IN,Indiana,Union,19.7,Current Cigarette Smoking,-84.92489459,39.62533102
KS,Kansas,Cherokee,22.2,Depression,-94.84620239,37.16930936
IN,Indiana,Jennings,25.9,Depression,-85.62762677,38.99707719
IA,Iowa,Black Hawk,20.7,Depression,-92.30872485,42.47009134
IA,Iowa,Adams,34.3,Short Sleep Duration,-94.69926915,41.02896534
KS,Kansas,Cowley,41.8,Obesity,-96.83774282,37.23772038
IA,Iowa,Ida,19,Depression,-95.513512,42.38696477
IN,Indiana,Jennings,38.6,Short Sleep Duration,-85.62762677,38.99707719
KS,Kansas,Elk,19.7,Frequent Mental Distress,-96.24370891,37.45338324
IA,Iowa,Mitchell,27.6,Physical Inactivity,-92.78887392,43.35634158
IA,Iowa,Black Hawk,18.5,Current Cigarette Smoking,-92.30872485,42.47009134
IA,Iowa,Davis,31.8,Short Sleep Duration,-92.40995572,40.74770908
IN,Indiana,Tippecanoe,17.5,Binge Drinking,-86.89405525,40.38862391
IN,Indiana,Vermillion,16.7,Binge Drinking,-87.46402324,39.85404172
KS,Kansas,Grant,18.1,Depression,-101.3079758,37.56227336
IN,Indiana,Huntington,16.7,Frequent Mental Distress,-85.48812711,40.82905224
IA,Iowa,Marshall,35.1,Short Sleep Duration,-92.99891891,42.03585629
IN,Indiana,Newton,31.2,Physical Inactivity,-87.39763611,40.95602113
KS,Kansas,Hamilton,18.5,Depression,-101.7915769,37.9991797
KS,Kansas,Johnson,9.6,Current Cigarette Smoking,-94.82247673,38.88372749
IN,Indiana,Posey,15.3,Current Cigarette Smoking,-87.86865311,38.02192887
IA,Iowa,Humboldt,19.7,Binge Drinking,-94.20728556,42.77643164
KS,Kansas,Douglas,21.1,Physical Inactivity,-95.29236573,38.88468788
IN,Indiana,St. Joseph,27.8,Physical Inactivity,-86.2899347,41.61661374
IA,Iowa,Franklin,41,Obesity,-93.26251618,42.73257512
IA,Iowa,Franklin,19.6,Binge Drinking,-93.26251618,42.73257512
KS,Kansas,Harvey,15.2,Current Cigarette Smoking,-97.42726166,38.04311041
KS,Kansas,Barber,18.5,Binge Drinking,-98.68481416,37.2289283
KS,Kansas,Barton,15.4,Current Cigarette Smoking,-98.75632747,38.47892441
IA,Iowa,Cerro Gordo,19.3,Binge Drinking,-93.26076813,43.081572
IA,Iowa,Keokuk,19.9,Depression,-92.17832294,41.3364935
IA,Iowa,Delaware,15.9,Current Cigarette Smoking,-91.36709935,42.47125932
KS,Kansas,Ellsworth,34.1,Short Sleep Duration,-98.20468908,38.69680676
KS,Kansas,Marshall,41.5,Obesity,-96.52285303,39.78356755
IA,Iowa,Bremer,34.5,Short Sleep Duration,-92.31804391,42.77461114
IA,Iowa,Delaware,21.4,Binge Drinking,-91.36709935,42.47125932
IA,Iowa,Story,14.5,Frequent Mental Distress,-93.46507271,42.03622993
IN,Indiana,Tippecanoe,31.1,Obesity,-86.89405525,40.38862391
IN,Indiana,Henry,43,Short Sleep Duration,-85.39649267,39.93109138
KS,Kansas,Doniphan,22.2,Depression,-95.14675944,39.78797402
KS,Kansas,Gray,16.9,Current Cigarette Smoking,-100.4379631,37.73851738
IN,Indiana,Warren,36.3,Obesity,-87.35348295,40.34697597
IN,Indiana,Harrison,39.4,Short Sleep Duration,-86.11161229,38.19540329
IN,Indiana,Jefferson,18.9,Current Cigarette Smoking,-85.43844244,38.78558706
IA,Iowa,Tama,41,Obesity,-92.53252914,42.07982419
IA,Iowa,Fayette,29.1,Physical Inactivity,-91.84439392,42.86264363
IN,Indiana,Pike,39.8,Short Sleep Duration,-87.23218711,38.39885694
IN,Indiana,Wells,24,Depression,-85.22124597,40.72918711
IN,Indiana,Monroe,15.6,Current Cigarette Smoking,-86.523228,39.16083204
IA,Iowa,Des Moines,36.5,Obesity,-91.18157852,40.92287275
KS,Kansas,Anderson,27.9,Physical Inactivity,-95.29336887,38.21419319
IA,Iowa,Bremer,15.4,Frequent Mental Distress,-92.31804391,42.77461114
KS,Kansas,Ford,16.6,Binge Drinking,-99.88813563,37.69182201
KS,Kansas,Hodgeman,19.6,Depression,-99.89821554,38.08784579
IA,Iowa,Black Hawk,16.4,Frequent Mental Distress,-92.30872485,42.47009134
IN,Indiana,Parke,27.6,Depression,-87.20660456,39.77362991
KS,Kansas,Kingman,24.8,Physical Inactivity,-98.13637408,37.55892394
KS,Kansas,Harper,23.2,Current Cigarette Smoking,-98.07557505,37.19166432
IA,Iowa,Jackson,16.3,Frequent Mental Distress,-90.57414757,42.17160607
IA,Iowa,Sioux,14.3,Frequent Mental Distress,-96.17781151,43.0825131
IA,Iowa,Marion,22.4,Binge Drinking,-93.09943983,41.33445215
KS,Kansas,Cheyenne,39.9,Obesity,-101.7318625,39.78580547
IA,Iowa,Boone,35.3,Short Sleep Duration,-93.93158304,42.03649567
IN,Indiana,Perry,16.3,Binge Drinking,-86.63811995,38.07950998
IA,Iowa,Floyd,23.3,Binge Drinking,-92.78901456,43.05993845
IN,Indiana,Jasper,39.8,Short Sleep Duration,-87.11600517,41.02309258
IA,Iowa,Cerro Gordo,38.1,Obesity,-93.26076813,43.081572
IA,Iowa,Marshall,27.9,Physical Inactivity,-92.99891891,42.03585629
IN,Indiana,Sullivan,37.7,Short Sleep Duration,-87.41399857,39.08905401
IA,Iowa,Boone,24.3,Physical Inactivity,-93.93158304,42.03649567
IA,Iowa,Poweshiek,40.6,Obesity,-92.53207311,41.68611489
KS,Kansas,Greenwood,18.2,Current Cigarette Smoking,-96.23270166,37.87741833
IA,Iowa,Buena Vista,15.9,Current Cigarette Smoking,-95.15079144,42.73547059
IA,Iowa,Wayne,23.3,Binge Drinking,-93.32743986,40.73954301
IA,Iowa,Chickasaw,14,Frequent Mental Distress,-92.31764082,43.06009249
KS,Kansas,Lyon,36.6,Short Sleep Duration,-96.1526456,38.45587143
IN,Indiana,Steuben,22.9,Depression,-85.00089493,41.6439137
IA,Iowa,Lucas,41.1,Obesity,-93.32780064,41.02948216
IN,Indiana,Noble,35,Short Sleep Duration,-85.41754532,41.39859849
IA,Iowa,Wright,20.1,Depression,-93.73517261,42.73302204
KS,Kansas,Haskell,17.4,Current Cigarette Smoking,-100.8710738,37.56203939
IA,Iowa,Calhoun,16.1,Current Cigarette Smoking,-94.64045182,42.38526309
IA,Iowa,Delaware,40.6,Obesity,-91.36709935,42.47125932
IN,Indiana,Washington,36.2,Short Sleep Duration,-86.10516772,38.59984242
KS,Kansas,Clark,14.8,Current Cigarette Smoking,-99.81961927,37.2354754
IN,Indiana,Hendricks,22.6,Depression,-86.50999307,39.76951552
IN,Indiana,Howard,28.4,Physical Inactivity,-86.11689908,40.48360152
KS,Kansas,Cheyenne,16.2,Current Cigarette Smoking,-101.7318625,39.78580547
KS,Kansas,Kiowa,32,Short Sleep Duration,-99.28576492,37.55841651
IN,Indiana,Henry,18.1,Binge Drinking,-85.39649267,39.93109138
IA,Iowa,Clayton,17.5,Depression,-91.34136314,42.84469652
IN,Indiana,Orange,18.1,Frequent Mental Distress,-86.49514516,38.54168182
IA,Iowa,Van Buren,33.3,Short Sleep Duration,-91.9503055,40.75323952
IN,Indiana,LaGrange,20.7,Frequent Mental Distress,-85.42656377,41.64259333
IA,Iowa,Clinton,20.2,Depression,-90.53233922,41.89798369
IA,Iowa,Allamakee,34.8,Short Sleep Duration,-91.37774298,43.28413551
IN,Indiana,Henry,44.4,Obesity,-85.39649267,39.93109138
IN,Indiana,Marshall,18,Current Cigarette Smoking,-86.26172593,41.32477812
IA,Iowa,Monona,19.3,Depression,-95.95978639,42.05153644
IA,Iowa,Carroll,24.7,Physical Inactivity,-94.86048447,42.03618517
IA,Iowa,Lee,35.3,Short Sleep Duration,-91.47949584,40.64225242
IA,Iowa,Black Hawk,34.7,Short Sleep Duration,-92.30872485,42.47009134
KS,Kansas,Comanche,14.5,Frequent Mental Distress,-99.27133648,37.19118791
IA,Iowa,Calhoun,38.5,Obesity,-94.64045182,42.38526309
IA,Iowa,Dubuque,17.5,Current Cigarette Smoking,-90.88228859,42.46876416
IA,Iowa,Polk,22.7,Binge Drinking,-93.57352612,41.68549892
IA,Iowa,Sioux,27.8,Short Sleep Duration,-96.17781151,43.0825131
IA,Iowa,Marshall,15.9,Frequent Mental Distress,-92.99891891,42.03585629
IA,Iowa,Pottawattamie,24.1,Binge Drinking,-95.54273355,41.33657455
IA,Iowa,Greene,26.9,Physical Inactivity,-94.39677309,42.03622868
IN,Indiana,Porter,25.4,Physical Inactivity,-87.06745132,41.4608374
KS,Kansas,Leavenworth,15.5,Frequent Mental Distress,-95.03823452,39.1999863
IN,Indiana,Jackson,33.2,Physical Inactivity,-86.03757482,38.90640817
KS,Kansas,Labette,16,Binge Drinking,-95.29765074,37.19134799
KS,Kansas,Lincoln,41.2,Obesity,-98.20745361,39.04547622
KS,Kansas,Lane,27.4,Physical Inactivity,-100.4660754,38.48119447
IN,Indiana,Hamilton,10,Current Cigarette Smoking,-86.05199498,40.07247314
KS,Kansas,Kingman,18.7,Binge Drinking,-98.13637408,37.55892394
IN,Indiana,Wayne,32.9,Physical Inactivity,-85.00994708,39.86432597
IA,Iowa,Pottawattamie,18.4,Current Cigarette Smoking,-95.54273355,41.33657455
IN,Indiana,Tipton,24.9,Depression,-86.05187282,40.31134685
IN,Indiana,Porter,16.6,Current Cigarette Smoking,-87.06745132,41.4608374
IA,Iowa,Winneshiek,26.8,Short Sleep Duration,-91.84336728,43.29072709
IA,Iowa,Palo Alto,14,Frequent Mental Distress,-94.67820833,43.0820387
IN,Indiana,Jackson,36.2,Short Sleep Duration,-86.03757482,38.90640817
KS,Kansas,Jackson,36,Short Sleep Duration,-95.79369874,39.4167648
KS,Kansas,Ford,38.3,Short Sleep Duration,-99.88813563,37.69182201
KS,Kansas,Jewell,14.3,Frequent Mental Distress,-98.2182222,39.78471432
KS,Kansas,Labette,18.7,Frequent Mental Distress,-95.29765074,37.19134799
KS,Kansas,Johnson,13.5,Frequent Mental Distress,-94.82247673,38.88372749
IN,Indiana,Lake,21.1,Depression,-87.3820486,41.4171965
IA,Iowa,Warren,33.2,Short Sleep Duration,-93.5613579,41.33440507
IN,Indiana,Hamilton,31.1,Short Sleep Duration,-86.05199498,40.07247314
IA,Iowa,Clinton,17.2,Frequent Mental Distress,-90.53233922,41.89798369
IN,Indiana,Warrick,14.3,Current Cigarette Smoking,-87.27202271,38.09224476
KS,Kansas,Bourbon,41.9,Obesity,-94.84974241,37.85514967
IA,Iowa,Clarke,19.1,Current Cigarette Smoking,-93.78520723,41.02891111
KS,Kansas,Dickinson,25.4,Physical Inactivity,-97.15285638,38.86627202
KS,Kansas,Decatur,18.5,Current Cigarette Smoking,-100.4593927,39.78469039
KS,Kansas,Geary,17.3,Current Cigarette Smoking,-96.7526297,39.00214581
IA,Iowa,Allamakee,26.6,Physical Inactivity,-91.37774298,43.28413551
IA,Iowa,Wayne,31.6,Short Sleep Duration,-93.32743986,40.73954301
KS,Kansas,Anderson,17.1,Frequent Mental Distress,-95.29336887,38.21419319
KS,Kansas,McPherson,19.5,Depression,-97.64782919,38.39166154
IN,Indiana,Huntington,16.2,Binge Drinking,-85.48812711,40.82905224
KS,Kansas,Butler,15.6,Current Cigarette Smoking,-96.83907011,37.78117274
KS,Kansas,Gray,39.2,Obesity,-100.4379631,37.73851738
IA,Iowa,Ringgold,20.6,Depression,-94.24386342,40.73514515
KS,Kansas,Hodgeman,15.7,Binge Drinking,-99.89821554,38.08784579
IN,Indiana,Knox,34.2,Short Sleep Duration,-87.41867581,38.68979134
KS,Kansas,Harper,20.2,Frequent Mental Distress,-98.07557505,37.19166432
IA,Iowa,Audubon,18.5,Current Cigarette Smoking,-94.9058176,41.68448919
KS,Kansas,Allen,36.8,Short Sleep Duration,-95.30171123,37.88570275
IN,Indiana,Madison,15.8,Binge Drinking,-85.71931686,40.16173328
IA,Iowa,Humboldt,19.4,Depression,-94.20728556,42.77643164
IA,Iowa,Mills,17.7,Current Cigarette Smoking,-95.62131657,41.03341568
IA,Iowa,Winnebago,31.1,Short Sleep Duration,-93.73409863,43.37752561
IN,Indiana,Morgan,35,Short Sleep Duration,-86.44593863,39.48153798
IN,Indiana,Orange,41.7,Obesity,-86.49514516,38.54168182
KS,Kansas,Butler,16.7,Frequent Mental Distress,-96.83907011,37.78117274
IA,Iowa,Lyon,38,Obesity,-96.21018211,43.38060781
IA,Iowa,Decatur,28.3,Physical Inactivity,-93.78638864,40.73759389
IN,Indiana,Rush,39.4,Short Sleep Duration,-85.46576267,39.62008971
IN,Indiana,Miami,42.1,Obesity,-86.04510126,40.76949671
IA,Iowa,Dickinson,16.1,Frequent Mental Distress,-95.15097968,43.3779096
KS,Kansas,Kearny,18.8,Current Cigarette Smoking,-101.3203923,38.00024973
IA,Iowa,Marion,21.2,Physical Inactivity,-93.09943983,41.33445215
IN,Indiana,Parke,38.1,Short Sleep Duration,-87.20660456,39.77362991
KS,Kansas,Elk,18.6,Binge Drinking,-96.24370891,37.45338324
IA,Iowa,Dubuque,28.3,Physical Inactivity,-90.88228859,42.46876416
IA,Iowa,Washington,21.1,Binge Drinking,-91.71736356,41.33551414
IA,Iowa,Des Moines,26.9,Physical Inactivity,-91.18157852,40.92287275
KS,Kansas,Crawford,18.3,Frequent Mental Distress,-94.85178331,37.50726827
IA,Iowa,Montgomery,22.6,Binge Drinking,-95.15639224,41.03018485
KS,Kansas,Franklin,20.3,Depression,-95.28597337,38.56440342
IA,Iowa,Webster,13.9,Current Cigarette Smoking,-94.18176268,42.42784388
KS,Kansas,Kingman,40.9,Obesity,-98.13637408,37.55892394
IN,Indiana,Pulaski,26.3,Depression,-86.69873539,41.04178825
IN,Indiana,Randolph,38.8,Short Sleep Duration,-85.01136365,40.15762852
IN,Indiana,Vanderburgh,16.9,Current Cigarette Smoking,-87.58575645,38.0253645
IA,Iowa,Chickasaw,37.7,Obesity,-92.31764082,43.06009249
IA,Iowa,Mitchell,17.2,Frequent Mental Distress,-92.78887392,43.35634158
KS,Kansas,Butler,23.3,Physical Inactivity,-96.83907011,37.78117274
IA,Iowa,Grundy,15,Frequent Mental Distress,-92.79144786,42.4018596
IA,Iowa,Audubon,31.7,Short Sleep Duration,-94.9058176,41.68448919
IA,Iowa,Adair,28,Physical Inactivity,-94.47088986,41.33073906
IN,Indiana,St. Joseph,16.7,Current Cigarette Smoking,-86.2899347,41.61661374
IA,Iowa,Cherokee,17.5,Current Cigarette Smoking,-95.62366101,42.73536683
KS,Kansas,Jackson,19.6,Binge Drinking,-95.79369874,39.4167648
KS,Kansas,Lane,17.8,Frequent Mental Distress,-100.4660754,38.48119447
IA,Iowa,Louisa,34.7,Physical Inactivity,-91.25956456,41.21845863
IN,Indiana,Switzerland,39.5,Obesity,-85.03693567,38.82622891
IA,Iowa,Mahaska,35.1,Short Sleep Duration,-92.64089128,41.33518628
IA,Iowa,Sioux,27.6,Physical Inactivity,-96.17781151,43.0825131
IA,Iowa,Muscatine,25.4,Physical Inactivity,-91.11277494,41.4838849
IN,Indiana,Starke,17.5,Binge Drinking,-86.64775999,41.28090613
KS,Kansas,Kiowa,19.9,Depression,-99.28576492,37.55841651
IN,Indiana,Kosciusko,26.4,Physical Inactivity,-85.86074569,41.2441074
IA,Iowa,Worth,24.5,Binge Drinking,-93.26084876,43.37739396
IN,Indiana,Spencer,23.2,Depression,-87.00780729,38.01421581
KS,Kansas,Clark,38.2,Obesity,-99.81961927,37.2354754
IN,Indiana,Knox,17.6,Binge Drinking,-87.41867581,38.68979134
KS,Kansas,Brown,16.1,Current Cigarette Smoking,-95.56425121,39.82649771
IA,Iowa,Washington,40.7,Obesity,-91.71736356,41.33551414
IN,Indiana,Huntington,27.1,Physical Inactivity,-85.48812711,40.82905224
KS,Kansas,Douglas,33.6,Short Sleep Duration,-95.29236573,38.88468788
IA,Iowa,Jones,39.2,Obesity,-91.13153465,42.12119452
KS,Kansas,Elk,39.4,Short Sleep Duration,-96.24370891,37.45338324
IN,Indiana,Harrison,18.2,Current Cigarette Smoking,-86.11161229,38.19540329
IN,Indiana,Scott,23.2,Current Cigarette Smoking,-85.74706108,38.68577465
IN,Indiana,Steuben,18.1,Binge Drinking,-85.00089493,41.6439137
KS,Kansas,Barton,19.1,Depression,-98.75632747,38.47892441
KS,Kansas,Linn,38.6,Obesity,-94.84307193,38.21232892
KS,Kansas,Finney,42.9,Obesity,-100.7376461,38.04405361
IA,Iowa,Black Hawk,27.2,Physical Inactivity,-92.30872485,42.47009134
IA,Iowa,Winneshiek,20.8,Physical Inactivity,-91.84336728,43.29072709
IA,Iowa,Scott,14.2,Frequent Mental Distress,-90.62294822,41.63712145
KS,Kansas,Haskell,16.4,Binge Drinking,-100.8710738,37.56203939
IA,Iowa,Fremont,23.7,Physical Inactivity,-95.60470234,40.74556956
KS,Kansas,Hamilton,15.6,Current Cigarette Smoking,-101.7915769,37.9991797
IA,Iowa,Harrison,34.8,Short Sleep Duration,-95.8167226,41.68296367
